iter	Passed	Remaining
591	26594	18328
592	26640	18284
593	26684	18238
594	26733	18196
595	26781	18154
596	26839	18117
597	26904	18086
598	26958	18047
599	27015	18010
600	27073	17974
601	27128	17935
602	27175	17891
603	27223	17848
604	27267	17802
605	27313	17758
606	27361	17715
607	27407	17670
608	27459	17629
609	27516	17592
610	27569	17552
611	27619	17510
612	27667	17467
613	27711	17421
614	27760	17378
615	27809	17335
616	27852	17289
617	27898	17244
618	27952	17205
619	28003	17163
620	28059	17125
621	28113	17085
622	28159	17040
623	28204	16995
624	28251	16951
625	28297	16906
626	28342	16861
627	28387	16815
628	28435	16771
629	28492	16733
630	28549	16695
631	28599	16653
632	28647	16609
633	28695	16565
634	28741	16520
635	28785	16474
636	28834	16431
637	28880	16386
638	28923	16339
639	28971	16296
640	29029	16258
641	29087	16220
642	29142	16180
643	29188	16135
644	29236	16091
645	29283	16046
646	29328	16001
647	29376	15957
648	29424	15913
649	29468	15867
650	29515	15823
651	29570	15782
652	29631	15746
653	29679	15702
654	29726	15657
655	29775	15613
656	29820	15568
657	29869	15524
658	29912	15478
659	29957	15432
660	30007	15389
661	30068	15352
662	30120	15309
663	30175	15269
664	30219	15223
665	30266	15178
666	30316	15135
667	30362	15090
668	30409	15045
669	30456	15000
670	30503	14956
671	30557	14914
672	30611	14873
673	30659	14829
674	30706	14784
675	30753	14739
676	30798	14694
677	30844	14648
678	30893	14604
679	30950	14565
680	31000	14521
681	31054	14479
682	31103	14435
683	31158	14395
684	31213	14353
685	31261	14309
686	31308	14264
687	31355	14219
688	31406	14176
689	31452	14130
690	31497	14084
691	31546	14040
692	31602	13999
693	31657	13958
694	31709	13915
695	31756	13870
696	31804	13826
697	31850	13780
698	31896	13735
699	31943	13690
700	31989	13644
701	32040	13601
702	32090	13557
703	32145	13515
704	32202	13474
705	32262	13435
706	32308	13389
707	32354	13343
708	32403	13299
709	32448	13253
710	32491	13206
711	32538	13161
712	32584	13116
713	32632	13071
714	32687	13029
715	32742	12987
716	32794	12943
717	32843	12899
718	32891	12854
719	32939	12809
720	32994	12767
721	33043	12723
722	33088	12677
723	33140	12633
724	33192	12590
725	33251	12549
726	33305	12506
727	33351	12460
728	33398	12415
729	33449	12371
730	33495	12326
731	33540	12279
732	33586	12234
733	33634	12189
734	33683	12144
735	33737	12101
736	33794	12059
737	33846	12016
738	33892	11970
739	33939	11924
740	33987	11879
741	34038	11835
742	34085	11789
743	34128	11743
744	34177	11698
745	34224	11652
746	34279	11610
747	34337	11568
748	34391	11524
749	34436	11478
750	34484	11433
751	34530	11387
752	34577	11342
753	34626	11297
754	34671	11251
755	34720	11206
756	34778	11163
757	34831	11120
758	34888	11077
759	34938	11033
760	34995	10990
761	35040	10944
762	35089	10899
763	35134	10852
764	35181	10807
765	35228	10761
766	35281	10717
767	35337	10674
768	35395	10632
769	35449	10588
770	35504	10545
771	35559	10502
772	35618	10459
773	35671	10415
774	35728	10372
775	35782	10329
776	35844	10287
777	35909	10246
778	35967	10203
779	36024	10160
780	36083	10118
781	36137	10074
782	36193	10030
783	36252	9988
784	36309	9944
785	36369	9902
786	36436	9861
787	36488	9816
788	36536	9770
789	36587	9725
790	36635	9679
791	36687	9634
792	36741	9590
793	36795	9546
794	36850	9502
795	36904	9457
796	36967	9415
797	37014	9369
798	37064	9324
799	37109	9277
800	37156	9231
801	37210	9186
802	37256	9140
803	37308	9095
804	37368	9052
805	37426	9008
806	37480	8963
807	37536	8919
808	37583	8873
809	37634	8827
810	37680	8781
811	37725	8734
812	37772	8688
813	37817	8641
814	37863	8594
815	37923	8551
816	37987	8508
817	38042	8464
818	38089	8417
819	38139	8372
820	38182	8324
821	38230	8278
822	38281	8233
823	38326	8186
824	38372	8139
825	38428	8095
826	38483	8050
827	38539	8005
828	38590	7960
829	38640	7914
830	38686	7867
831	38731	7820
832	38775	7773
833	38822	7727
834	38870	7681
835	38922	7635
836	38976	7590
837	39048	7548
838	39098	7502
839	39144	7456
840	39190	7409
841	39236	7362
842	39281	7315
843	39329	7269
844	39378	7223
845	39426	7176
846	39473	7130
847	39525	7084
848	39584	7040
849	39638	6995
850	39683	6948
851	39732	6901
852	39780	6855
853	39824	6808
854	39871	6761
855	39921	6715
856	39968	6669
857	40023	6623
858	40086	6579
859	40155	6536
860	40203	6490
861	40253	6444
862	40302	6398
863	40349	6351
864	40398	6305
865	40446	6258
866	40494	6211
867	40551	6166
868	40604	6121
869	40661	6075
870	40712	6029
871	40763	5983
872	40811	5937
873	40864	5891
874	40914	5844
875	40960	5798
876	41012	5752
877	41069	5706
878	41123	5660
879	41179	5615
880	41230	5569
881	41274	5521
882	41322	5475
883	41377	5429
884	41434	5384
885	41486	5337
886	41542	5292
887	41602	5247
888	41666	5202
889	41721	5156
890	41773	5110
891	41823	5063
892	41867	5016
893	41912	4969
894	41962	4922
895	42004	4875
896	42055	4829
897	42110	4783
898	42170	4737
899	42218	4690
900	42270	4644
901	42323	4598
902	42372	4551
903	42421	4504
904	42466	4457
905	42514	4410
906	42559	4363
907	42608	4317
908	42664	4271
909	42722	4225
910	42776	4179
911	42833	4133
912	42896	4087
913	42952	4041
914	43010	3995
915	43082	3950
916	43136	3904
917	43194	3858
918	43257	3812
919	43315	3766
920	43374	3720
921	43433	3674
922	43487	3627
923	43543	3581
924	43603	3535
925	43660	3489
926	43723	3443
927	43788	3397
928	43846	3351
929	43901	3304
930	43956	3257
931	44012	3211
932	44067	3164
933	44122	3117
934	44173	3070
935	44227	3024
936	44289	2977
937	44356	2931
938	44414	2885
939	44470	2838
940	44526	2791
941	44583	2745
942	44637	2698
943	44692	2651
944	44751	2604
945	44814	2558
946	44881	2511
947	44941	2465
948	45001	2418
949	45058	2371
950	45109	2324
951	45160	2277
952	45207	2229
953	45259	2182
954	45323	2135
955	45383	2088
956	45436	2041
957	45490	1994
958	45538	1946
959	45584	1899
960	45637	1852
961	45684	1804
962	45729	1757
963	45784	1709
964	45839	1662
965	45901	1615
966	45952	1568
967	46001	1520
968	46051	1473
969	46100	1425
970	46148	1378
971	46194	1330
972	46244	1283
973	46292	1235
974	46347	1188
975	46409	1141
976	46467	1093
977	46519	1046
978	46575	999
979	46623	951
980	46671	903
981	46719	856
982	46768	808
983	46820	761
984	46877	713
985	46936	666
986	46997	619
987	47048	571
988	47095	523
989	47145	476
990	47196	428
991	47244	381
992	47294	333
993	47344	285
994	47396	238
995	47458	190
996	47524	143
997	47586	95
998	47639	47
999	47698	0
