u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,geometry,junction,bridge,ref,access,width,tunnel,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
1177160779,1177160471,0,101966492,residential,,,False,True,76.5380324686238,,"LINESTRING (9835797.560385726 2580028.199587932, 9835740.509146696 2580047.198582515, 9835718.545811161 2580053.4914014996)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,49,5.0,545.643630915508
1177160779,1177160923,0,1199457538,residential,,,False,True,47.44847299350943,,"LINESTRING (9835797.560385726 2580028.199587932, 9835806.82216736 2580052.056831445, 9835815.594143234 2580076.3722078525)",,,,,,,22,0,6.39,204,300.0,65.0,3,53,54,5.0,428.0661049979411
10943498141,1177160515,0,101966385,residential,,Dacres Lane,False,False,69.41182704603635,,"LINESTRING (9835029.01062129 2579697.5892161913, 9835005.689187968 2579626.043224703)",,,,,,,17,1,6.39,204,300.0,65.0,3,53,14,5.0,209.21186943734105
10943498141,10943484228,0,101966385,residential,,Dacres Lane,False,True,88.50916535920533,,"LINESTRING (9835029.01062129 2579697.5892161913, 9835042.970085436 2579740.4325740305, 9835047.845879132 2579744.2540043904, 9835052.042623935 2579749.172439712, 9835067.026227396 2579784.3489386863)",,,,,,,28,0,6.39,204,300.0,65.0,3,53,36,5.0,532.9595943517671
10943498141,10943498145,0,1178014356,residential,,,False,False,92.5484735096168,,"LINESTRING (9835029.01062129 2579697.5892161913, 9835001.79300579 2579705.629871723, 9834977.581016542 2579712.5976393316, 9834954.137131782 2579720.5418623677, 9834933.075484125 2579726.9189424836)",,,,,,,19,2,6.39,204,300.0,65.0,3,53,39,5.0,532.7268560250067
10943498137,10281958942,0,1124379131,secondary,,,True,False,68.09507035633334,,"LINESTRING (9835178.134211157 2579560.344144046, 9835247.909267986 2579536.2344548125)",,,,,,,12,4,6.39,204,300.0,65.0,3,53,19,5.0,213.85676041244
10943498137,10943498140,0,1178013884,residential,,,False,False,61.22728329273275,,"LINESTRING (9835178.134211157 2579560.344144046, 9835184.958095942 2579576.316832422, 9835188.765222525 2579590.4933596426, 9835197.90455272 2579623.584025079)",,,,,,,14,1,6.39,204,300.0,65.0,3,53,34,5.0,327.4073158343497
1177160524,1177160691,0,101966424,residential,,Dendra Mullick Ln,False,False,76.61849299793045,,"LINESTRING (9836018.78560978 2580573.8989015957, 9835999.416018382 2580574.8151263567, 9835935.741269648 2580575.3817390623)",,,,,,,35,0,6.39,204,300.0,65.0,3,53,69,5.0,820.001122022864
1177160524,1177161043,0,"[101966424, 101966506]",residential,,Dendra Mullick Ln,False,"[False, True]",77.88821563066406,,"LINESTRING (9836018.78560978 2580573.8989015957, 9836047.45037866 2580590.620011428, 9836060.953432892 2580591.1384022683, 9836065.996205827 2580628.546974688)",,,,,,,29,0,6.39,204,300.0,65.0,3,53,62,5.0,735.0883242921407
1177160524,10281958928,0,102961724,residential,,,False,False,68.46456593237514,,"LINESTRING (9836018.78560978 2580573.8989015957, 9836044.400224611 2580569.317778551, 9836091.91138328 2580561.156149309)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,70,5.0,685.7023538319511
